Product Name,Order Date,Demand,Moving_Average
Adult dog supplies,01-12-2017,69,
Adult dog supplies,02-12-2017,50,
Adult dog supplies,06-01-2018,10,43
Adult dog supplies,07-01-2018,68,42.66666667
Adult dog supplies,08-01-2018,69,49
Adult dog supplies,09-01-2018,68,68.33333333
Adult dog supplies,10-01-2018,31,56
Adult dog supplies,,59,52.66666667
Adult dog supplies,,68,52.66666667
Baby sweater,07-10-2017,67,
Baby sweater,08-10-2017,15,
Baby sweater,,51,44.33333333
Baby sweater,,6,24
Baby sweater,,68,41.66666667
Bag Boy Beverage Holder,02-01-2015,4,
Bag Boy Beverage Holder,04-01-2015,3,
Bag Boy Beverage Holder,07-01-2015,4,3.666666667
Bag Boy Beverage Holder,06-02-2015,4,3.666666667
Bag Boy Beverage Holder,09-02-2015,5,4.333333333
Bag Boy Beverage Holder,02-03-2015,11,6.666666667
Bag Boy Beverage Holder,03-03-2015,1,5.666666667
Bag Boy Beverage Holder,06-03-2015,4,5.333333333
Bag Boy Beverage Holder,08-03-2015,4,3
Bag Boy Beverage Holder,04-04-2015,5,4.333333333
Bag Boy Beverage Holder,05-04-2015,5,4.666666667
Bag Boy Beverage Holder,07-04-2015,10,6.666666667
Bag Boy Beverage Holder,01-05-2015,1,5.333333333
Bag Boy Beverage Holder,02-05-2015,5,5.333333333
Bag Boy Beverage Holder,05-05-2015,3,3
Bag Boy Beverage Holder,10-05-2015,2,3.333333333
Bag Boy Beverage Holder,03-06-2015,5,3.333333333
Bag Boy Beverage Holder,05-06-2015,5,4
Bag Boy Beverage Holder,10-06-2015,6,5.333333333
Bag Boy Beverage Holder,03-07-2015,4,5
Bag Boy Beverage Holder,10-07-2015,5,5
Bag Boy Beverage Holder,03-08-2015,1,3.333333333
Bag Boy Beverage Holder,01-09-2015,4,3.333333333
Bag Boy Beverage Holder,02-09-2015,2,2.333333333
Bag Boy Beverage Holder,06-09-2015,2,2.666666667
Bag Boy Beverage Holder,07-09-2015,3,2.333333333
Bag Boy Beverage Holder,11-09-2015,1,2
Bag Boy Beverage Holder,12-09-2015,9,4.333333333
Bag Boy Beverage Holder,01-10-2015,5,5
Bag Boy Beverage Holder,02-10-2015,4,6
Bag Boy Beverage Holder,03-10-2015,3,4
Bag Boy Beverage Holder,01-11-2015,4,3.666666667
Bag Boy Beverage Holder,03-11-2015,5,4
Bag Boy Beverage Holder,05-11-2015,10,6.333333333
Bag Boy Beverage Holder,06-11-2015,3,6
Bag Boy Beverage Holder,07-11-2015,5,6
Bag Boy Beverage Holder,08-11-2015,4,4
Bag Boy Beverage Holder,09-11-2015,1,3.333333333
Bag Boy Beverage Holder,11-11-2015,1,2
Bag Boy Beverage Holder,12-11-2015,4,2
Bag Boy Beverage Holder,05-12-2015,2,2.333333333
Bag Boy Beverage Holder,09-12-2015,5,3.666666667
Bag Boy Beverage Holder,10-12-2015,4,3.666666667
Bag Boy Beverage Holder,08-01-2016,7,5.333333333
Bag Boy Beverage Holder,09-01-2016,5,5.333333333
Bag Boy Beverage Holder,02-02-2016,3,5
Bag Boy Beverage Holder,03-02-2016,4,4
Bag Boy Beverage Holder,06-02-2016,2,3
Bag Boy Beverage Holder,07-02-2016,3,3
Bag Boy Beverage Holder,12-02-2016,1,2
Bag Boy Beverage Holder,04-03-2016,7,3.666666667
Bag Boy Beverage Holder,06-03-2016,1,3
Bag Boy Beverage Holder,10-03-2016,8,5.333333333
Bag Boy Beverage Holder,11-03-2016,4,4.333333333
Bag Boy Beverage Holder,11-04-2016,8,6.666666667
Bag Boy Beverage Holder,01-05-2016,10,7.333333333
Bag Boy Beverage Holder,04-05-2016,5,7.666666667
Bag Boy Beverage Holder,05-05-2016,4,6.333333333
Bag Boy Beverage Holder,08-05-2016,3,4
Bag Boy Beverage Holder,11-05-2016,4,3.666666667
Bag Boy Beverage Holder,01-06-2016,1,2.666666667
Bag Boy Beverage Holder,06-06-2016,5,3.333333333
Bag Boy Beverage Holder,07-06-2016,1,2.333333333
Bag Boy Beverage Holder,02-07-2016,2,2.666666667
Bag Boy Beverage Holder,04-07-2016,2,1.666666667
Bag Boy Beverage Holder,07-07-2016,4,2.666666667
Bag Boy Beverage Holder,06-08-2016,3,3
Bag Boy Beverage Holder,07-08-2016,3,3.333333333
Bag Boy Beverage Holder,09-08-2016,3,3
Bag Boy Beverage Holder,10-08-2016,4,3.333333333
Bag Boy Beverage Holder,12-08-2016,1,2.666666667
Bag Boy Beverage Holder,03-09-2016,3,2.666666667
Bag Boy Beverage Holder,06-09-2016,2,2
Bag Boy Beverage Holder,07-09-2016,5,3.333333333
Bag Boy Beverage Holder,08-09-2016,2,3
Bag Boy Beverage Holder,09-09-2016,2,3
Bag Boy Beverage Holder,02-10-2016,5,3
Bag Boy Beverage Holder,03-10-2016,3,3.333333333
Bag Boy Beverage Holder,04-10-2016,1,3
Bag Boy Beverage Holder,08-10-2016,5,3
Bag Boy Beverage Holder,03-11-2016,2,2.666666667
Bag Boy Beverage Holder,04-11-2016,8,5
Bag Boy Beverage Holder,08-11-2016,4,4.666666667
Bag Boy Beverage Holder,12-11-2016,3,5
Bag Boy Beverage Holder,04-12-2016,6,4.333333333
Bag Boy Beverage Holder,06-12-2016,1,3.333333333
Bag Boy Beverage Holder,10-12-2016,4,3.666666667
Bag Boy Beverage Holder,11-12-2016,5,3.333333333
Bag Boy Beverage Holder,12-12-2016,2,3.666666667
Bag Boy Beverage Holder,02-01-2017,2,3
Bag Boy Beverage Holder,04-01-2017,5,3
Bag Boy Beverage Holder,04-02-2017,8,5
Bag Boy Beverage Holder,06-02-2017,1,4.666666667
Bag Boy Beverage Holder,01-03-2017,5,4.666666667
Bag Boy Beverage Holder,11-03-2017,1,2.333333333
