CustomerID,CustomerName,recency,frequency,monetary,segment_label
C5361,"Customer C5361",482,1,4950.64013671875,"At Risk (High Value)"
C6231,"Customer C6231",9,1,2563.5400390625,Potential/Standard
C7704,"Customer C7704",736,1,3172.550048828125,"At Risk (High Value)"
C2923,"Customer C2923",639,1,1525.8900146484375,Churned/Lost
C4847,"Customer C4847",819,1,1808.239990234375,Churned/Lost
C7317,"Customer C7317",811,1,629.3699951171875,Churned/Lost
C5076,"Customer C5076",376,1,266.2200012207031,Churned/Lost
C5181,"Customer C5181",684,1,2191.360107421875,"At Risk (High Value)"
C9564,"Customer C9564",182,2,4543.830230712891,"At Risk (High Value)"
C7521,"Customer C7521",16,2,2512.7899780273438,Potential/Standard
C7713,"Customer C7713",645,1,906.0999755859375,Churned/Lost
C3269,"Customer C3269",66,3,12172.7998046875,"Loyal Customer"
C7058,"Customer C7058",41,2,2157.9899291992188,Potential/Standard
C8718,"Customer C8718",155,1,1594.9200439453125,Potential/Standard
C2966,"Customer C2966",592,1,2271.52001953125,"At Risk (High Value)"
C7436,"Customer C7436",222,1,4556.47998046875,"At Risk (High Value)"
C8827,"Customer C8827",663,1,2337.550048828125,"At Risk (High Value)"
C1067,"Customer C1067",211,1,3002.550048828125,"At Risk (High Value)"
C3719,"Customer C3719",261,1,48.439998626708984,Potential/Standard
C8138,"Customer C8138",640,1,584.4299926757812,Churned/Lost
C7824,"Customer C7824",41,3,3030.310104370117,"Loyal Customer"
C4856,"Customer C4856",264,1,673.5,Potential/Standard
C4788,"Customer C4788",544,1,1498.6400146484375,Churned/Lost
C4679,"Customer C4679",384,1,985.1599731445312,Churned/Lost
C7284,"Customer C7284",312,1,296.239990234375,Potential/Standard
C2387,"Customer C2387",316,1,4940.0400390625,"At Risk (High Value)"
C1661,"Customer C1661",149,2,3035.050094604492,Potential/Standard
C7692,"Customer C7692",141,1,1168.0999755859375,Potential/Standard
C7789,"Customer C7789",249,1,2140.47998046875,"At Risk (High Value)"
C7793,"Customer C7793",290,1,1512.9000244140625,Potential/Standard
C3454,"Customer C3454",774,1,243.67999267578125,Churned/Lost
C5278,"Customer C5278",178,1,438.20001220703125,Potential/Standard
C3802,"Customer C3802",703,1,1289.239990234375,Churned/Lost
C7470,"Customer C7470",316,2,3619.89013671875,"At Risk (High Value)"
C5254,"Customer C5254",610,1,45.880001068115234,Churned/Lost
C7480,"Customer C7480",466,1,555.4500122070312,Churned/Lost
C3130,"Customer C3130",838,1,1686.300048828125,Churned/Lost
C3032,"Customer C3032",129,1,427.2300109863281,Potential/Standard
C4007,"Customer C4007",909,1,2957.85009765625,"At Risk (High Value)"
C9078,"Customer C9078",515,1,1771.6400146484375,Churned/Lost
C6015,"Customer C6015",316,1,280,Potential/Standard
C6157,"Customer C6157",206,1,1211.3499755859375,Potential/Standard
C3763,"Customer C3763",826,1,2126.8798828125,"At Risk (High Value)"
C8736,"Customer C8736",218,1,2145.760009765625,"At Risk (High Value)"
C5592,"Customer C5592",426,1,417.2200012207031,Churned/Lost
C3280,"Customer C3280",841,1,434.5199890136719,Churned/Lost
C5151,"Customer C5151",324,1,1315.5999755859375,Potential/Standard
C6267,"Customer C6267",86,1,1658.800048828125,Potential/Standard
C9907,"Customer C9907",10,1,1116.699951171875,Potential/Standard
C1813,"Customer C1813",834,1,1548.1600341796875,Churned/Lost
C8036,"Customer C8036",281,2,4163.43994140625,"At Risk (High Value)"
C4434,"Customer C4434",261,2,1195.9400329589844,Potential/Standard
C3557,"Customer C3557",114,1,1986.5999755859375,Potential/Standard
C4213,"Customer C4213",667,1,3483.199951171875,"At Risk (High Value)"
C7988,"Customer C7988",440,1,410.0400085449219,Churned/Lost
C2295,"Customer C2295",744,1,2662.199951171875,"At Risk (High Value)"
C2463,"Customer C2463",345,1,551.0900268554688,Potential/Standard
C6671,"Customer C6671",776,1,2588.699951171875,"At Risk (High Value)"
C3039,"Customer C3039",877,1,4403.22021484375,"At Risk (High Value)"
C1184,"Customer C1184",276,1,1379.300048828125,Potential/Standard
C1509,"Customer C1509",390,1,2485.52001953125,"At Risk (High Value)"
C8097,"Customer C8097",7,1,4530.89990234375,Potential/Standard
C3739,"Customer C3739",897,1,5002.27001953125,"At Risk (High Value)"
C7466,"Customer C7466",636,1,3626,"At Risk (High Value)"
C8446,"Customer C8446",241,3,4633.039978027344,"At Risk (High Value)"
C5448,"Customer C5448",396,2,2353.760009765625,"At Risk (High Value)"
C9577,"Customer C9577",223,1,722.8800048828125,Potential/Standard
C2330,"Customer C2330",825,1,724.469970703125,Churned/Lost
C4020,"Customer C4020",732,1,324.9200134277344,Churned/Lost
C9075,"Customer C9075",94,1,589.9199829101562,Potential/Standard
C6286,"Customer C6286",59,1,2573.340087890625,Potential/Standard
C7102,"Customer C7102",494,1,718.6500244140625,Churned/Lost
C9618,"Customer C9618",120,2,7754.449951171875,Potential/Standard
C1353,"Customer C1353",297,1,1556.8599853515625,Potential/Standard
C5180,"Customer C5180",183,1,1537.0799560546875,Potential/Standard
C1452,"Customer C1452",731,1,470.2200012207031,Churned/Lost
C5649,"Customer C5649",389,1,812.1799926757812,Churned/Lost
C4229,"Customer C4229",82,1,189.75999450683594,Potential/Standard
C4760,"Customer C4760",491,1,566.5399780273438,Churned/Lost
C3716,"Customer C3716",137,1,286.5400085449219,Potential/Standard
C3704,"Customer C3704",679,1,2260.39990234375,"At Risk (High Value)"
C4946,"Customer C4946",168,1,471.489990234375,Potential/Standard
C1241,"Customer C1241",37,1,362.07000732421875,Potential/Standard
C1895,"Customer C1895",736,2,7702.110107421875,"At Risk (High Value)"
